"Douglass_narrative" "EK_adrift" "EK_ourVisit" "EK_suppressed" "freedman_body1" "freedman_body2" "freedman_intro1" "freedman_intro2" "TWH_denmark" "TWH_gabriel" "TWH_leaves" "TWH_natTurner"
"as" 0.851687099924053 0.846059477981302 0.850734725444702 0.781758957654723 0.804261541675371 0.769230769230769 0.554938956714761 0.38787023977433 0.682409984735566 0.706511361466488 0.821965722280518 0.675458346735285
"had" 0.659108169686449 0.953932061423918 0.309358081979892 0.770901194353963 0.929601002715688 0.702754036087369 0.221975582685905 1.23413258110014 0.951782347131184 0.553752148176437 0.43721580972368 0.889889567921089
"for" 0.813713789736357 0.554168958077753 0.644496004124774 0.716612377850163 1.00271568832254 1.1301044634378 0.887902330743618 0.846262341325811 0.861991559665978 0.706511361466488 1.17173837005946 0.686179907794575
"his" 0.865248996419659 0.406108549431025 0.528486723382315 0.814332247557003 0.814706496762064 0.987654320987654 0.99889012208657 1.19887165021157 1.1313639220616 0.59194195149895 0.402238544945785 1.2115363996998
"me" 0.908647065205598 1.11891365963027 0.425367362722351 0.836047774158523 0.647587215374974 0.683760683760684 0.110987791342952 0 0.0538744724791236 0.0381898033225129 0.297306750612102 0.0428862442371609
"with" 0.930346099598568 0.566859850247472 0.902294405774684 0.857763300760043 0.689367035721746 0.560303893637227 0.665926748057714 0.493653032440056 0.763221693454252 0.553752148176437 0.839454354669465 0.739787713091026
"my" 1.20972116740805 0.801641355387284 0.348027842227378 0.564603691639522 0.898266137455609 0.835707502374169 0.221975582685905 0 0.0269372362395618 0.0190949016612564 0.507170339279468 0.0536078052964512
"at" 0.68351958337854 0.72126570497906 0.65738592420727 0.564603691639522 0.731146856068519 0.930674264007597 0.221975582685905 0.952045133991537 0.520786567298195 0.53465724651518 0.612102133613151 0.718344590972446
"on" 0.412281653466421 0.873556411015694 0.528486723382315 0.705754614549403 0.553582619594736 0.759734093067426 0.221975582685905 0.881523272214386 0.781179850947293 0.59194195149895 0.68205666316894 0.825560201565348
"not" 0.539763480525117 0.839714031896442 0.863624645527198 0.770901194353963 0.846041362022143 0.645773979107312 0.554938956714761 0.458392101551481 0.619556433509922 0.343708229902616 0.472193074501574 0.300203709660126
"but" 0.496365411739178 0.850289775371209 0.79917504511472 0.640608034744843 0.783371631501985 0.797720797720798 0.332963374028857 0.317348377997179 0.457933016072551 0.477372541531411 0.647079398391046 0.536078052964512
"were" 0.488228273841814 0.72761115106392 0.373807682392369 0.217155266015201 0.825151451848757 0.674264007597341 0.110987791342952 0.987306064880113 1.02361497710335 0.725606263127745 0.332284015389997 0.964940495336121
"they" 0.431268308560269 0.672617284995135 0.489816963134829 0.445168295331162 0.658032170461667 0.911680911680912 0.110987791342952 1.02256699576869 0.610577354763401 0.553752148176437 1.2242042672263 0.621850541438833
"be" 0.629271997396116 0.372266170311773 0.65738592420727 0.988056460369164 0.564027574681429 0.522317188983856 0.443951165371809 0.493653032440056 0.718326299721649 0.763796066450258 0.507170339279468 0.48247024766806
"we" 0.477378756645329 0.395532805956259 1.58546017014695 0.390879478827362 1.68163776895759 1.01614434947768 0.221975582685905 0.0352609308885755 0.14366525994433 0.0954745083062822 0.419727177334732 0.278760587541546
"by" 0.542475859824238 0.463217564194763 0.412477442639856 0.347448425624321 0.553582619594736 0.43684710351377 0.332963374028857 0.77574047954866 0.790158929693813 0.897460378079053 0.594613501224204 0.696901468853865
"him" 0.509927308234784 0.387072211176446 0.348027842227378 1.1400651465798 0.898266137455609 0.845204178537512 0.443951165371809 0.811001410437236 0.341204992367783 0.133664311628795 0.157397691500525 0.353811514956578
"this" 0.637409135293479 0.234781505139811 0.567156483629802 0.629750271444082 0.490912889074577 0.484330484330484 0.776914539400666 0.38787023977433 0.457933016072551 0.477372541531411 0.577124868835257 0.578964297201673
"would" 0.482803515243572 0.397647954651212 0.476927043052333 0.912052117263844 0.553582619594736 0.512820512820513 0.110987791342952 0.317348377997179 0.377121307353866 0.305518426580103 0.209863588667366 0.192988099067224
"from" 0.431268308560269 0.395532805956259 0.335137922144883 0.477741585233442 0.33423856277418 0.322886989553656 0.332963374028857 0.528913963328632 0.502828409805154 0.611036853160206 0.454704442112627 0.782673957328187
"which" 0.420418791363784 0.433605482465417 0.283578241814901 0.369163952225841 0.208899101733863 0.303893637226971 1.44284128745838 0.423131170662906 0.484870252312113 0.553752148176437 0.629590766002099 0.418140881312319
"one" 0.436693067158511 0.439950928550277 0.232018561484919 0.217155266015201 0.511802799247963 0.37037037037037 0.554938956714761 0.38787023977433 0.359163149860824 0.305518426580103 0.577124868835257 0.46102712554948
"have" 0.360746446783118 0.18190278776598 0.708945604537252 0.477741585233442 0.428243158554418 0.43684710351377 0.443951165371809 0.38787023977433 0.529765646044716 0.687416459805232 0.717033927946835 0.46102712554948
"all" 0.344472170988391 0.406108549431025 0.464037122969838 0.282301845819761 0.261123877167328 0.389363722697056 0.110987791342952 0.282087447108604 0.511807488551675 0.420087836547642 0.472193074501574 0.310925270719417
"is" 0.358034067483997 0.0951816912728965 0.928074245939675 0.836047774158523 0.302903697514101 0.332383665716999 0.99889012208657 0.423131170662906 0.287330519888659 0.572847049837693 1.18922700244841 0.503913369786641
"them" 0.279375067809482 0.416684292905791 0.232018561484919 0.238870792616721 0.449133068727804 0.427350427350427 0 0.599435825105783 0.260393283649098 0.248233721596334 0.402238544945785 0.289482148600836
"you" 0.130194206357817 0.0507635686788781 1.83036865171436 1.23778501628665 0.490912889074577 0.959164292497626 0.221975582685905 0 0.107748944958247 0.0190949016612564 0.297306750612102 0.0643293663557414
"their" 0.363458826082239 0.215745166885232 0.128899200824955 0.162866449511401 0.302903697514101 0.446343779677113 0 0.38787023977433 0.583640118523839 0.458277639870155 0.664568030779993 0.396697759193739
"or" 0.298361722903331 0.253817843394391 0.322248002062387 0.184581976112921 0.355128472947566 0.256410256410256 0.332963374028857 0.423131170662906 0.430995779832989 0.439182738208898 0.314795383001049 0.4395840034309
"when" 0.301074102202452 0.304581412073269 0.232018561484919 0.184581976112921 0.511802799247963 0.474833808167141 0.443951165371809 0.352609308885755 0.269372362395618 0.152759213290052 0.279818118223155 0.214431221185805
"so" 0.260388412715634 0.319387452937942 0.309358081979892 0.260586319218241 0.386463338207646 0.303893637226971 0 0.0705218617771509 0.359163149860824 0.229138819935077 0.524658971668416 0.225152782245095
"no" 0.328197895193664 0.258048140784297 0.515596803299819 0.293159609120521 0.428243158554418 0.180436847103514 0.221975582685905 0.317348377997179 0.278351441142139 0.286423524918847 0.279818118223155 0.235874343304385
"about" 0.165455137246393 0.505520538093828 0.14178912090745 0.390879478827362 0.313348652600794 0.265906932573599 0.221975582685905 0.528913963328632 0.0808117087186855 0.0763796066450258 0.12242042672263 0.0964940495336121
"said" 0.151893240750787 0.247472397309531 0.322248002062387 0.488599348534202 0.490912889074577 0.911680911680912 0 0.317348377997179 0.242435126156056 0.210043918273821 0.0874431619447359 0.139380293770773
"could" 0.241401757621786 0.410338846820932 0.128899200824955 0.271444082519001 0.240233966993942 0.284900284900285 0.110987791342952 0.141043723554302 0.170602496183892 0.210043918273821 0.139909059111577 0.203709660126514
"if" 0.214277964630574 0.27919962773383 0.489816963134829 0.445168295331162 0.376018383120953 0.379867046533713 0.332963374028857 0.0705218617771509 0.224476968663015 0.133664311628795 0.209863588667366 0.192988099067224
"some" 0.127481827058696 0.408223698125978 0.206238721319928 0.238870792616721 0.261123877167328 0.265906932573599 0.221975582685905 0.423131170662906 0.233456047409536 0.229138819935077 0.314795383001049 0.343089953897287
"there" 0.260388412715634 0.283429925123736 0.206238721319928 0.228013029315961 0.229789011907249 0.303893637226971 0.110987791342952 0.282087447108604 0.206518811169974 0.248233721596334 0.314795383001049 0.321646831778707
"mr" 0.458392101551481 0.00211514869495326 0.65738592420727 1.085776330076 0.083559640693545 0.227920227920228 0 0.77574047954866 0.107748944958247 0.133664311628795 0.0524658971668416 0.171544976948644
"who" 0.203428447434089 0.239011802529718 0.193348801237432 0.11943539630836 0.323793607687487 0.408357075023742 0.776914539400666 0.352609308885755 0.413037622339948 0.286423524918847 0.227352221056313 0.343089953897287
"then" 0.132906585656938 0.304581412073269 0.154679040989946 0.260586319218241 0.438688113641111 0.50332383665717 0.221975582685905 0.493653032440056 0.170602496183892 0.229138819935077 0.227352221056313 0.225152782245095
"an" 0.179017033741998 0.247472397309531 0.283578241814901 0.260586319218241 0.16711928138709 0.151946818613485 0.887902330743618 0.246826516220028 0.332225913621262 0.26732862325759 0.647079398391046 0.428862442371609
"very" 0.265813171313877 0.403993400736072 0.232018561484919 0.206297502714441 0.177564236473783 0.0949667616334283 0 0.105782792665726 0.14366525994433 0.152759213290052 0.314795383001049 0.0536078052964512
"man" 0.211565585331453 0.283429925123736 0.270688321732405 0.162866449511401 0.271568832254021 0.427350427350427 1.10987791342952 0.352609308885755 0.242435126156056 0.152759213290052 0.104931794333683 0.235874343304385
"our" 0.246826516220028 0.211514869495326 0.902294405774684 0.152008686210641 0.595362439941508 0.256410256410256 0.110987791342952 0.0352609308885755 0.107748944958247 0.0954745083062822 0.262329485834208 0.0536078052964512
"out" 0.198003688835847 0.365920724226913 0.180458881154937 0.217155266015201 0.376018383120953 0.303893637226971 0.221975582685905 0.105782792665726 0.0897907874652061 0.0763796066450258 0.244840853445261 0.139380293770773
"been" 0.200716068134968 0.164981598206354 0.116009280742459 0.162866449511401 0.240233966993942 0.151946818613485 0.332963374028857 0.458392101551481 0.565681961030798 0.477372541531411 0.139909059111577 0.407419320253029
"up" 0.219702723228816 0.304581412073269 0.154679040989946 0.0325732899022801 0.240233966993942 0.50332383665717 0.110987791342952 0.38787023977433 0.0718326299721649 0.0381898033225129 0.12242042672263 0.0964940495336121
"time" 0.303786481501573 0.122678624307289 0.167568961072441 0.141150922909881 0.386463338207646 0.379867046533713 0.110987791342952 0.38787023977433 0.197539732423453 0.152759213290052 0.157397691500525 0.214431221185805
"came" 0.119344689161332 0.397647954651212 0.103119360659964 0.0868621064060803 0.198454146647169 0.208926875593542 0.110987791342952 0.141043723554302 0.0808117087186855 0.0381898033225129 0.104931794333683 0.128658732711483
"after" 0.189866550938483 0.26016328947925 0.0773395204949729 0.0651465798045603 0.355128472947566 0.246913580246914 0 0.246826516220028 0.197539732423453 0.0763796066450258 0.12242042672263 0.150101854830063
"men" 0.103070413366605 0.18190278776598 0.232018561484919 0.0434310532030402 0.313348652600794 0.43684710351377 0.110987791342952 0.38787023977433 0.15264433869085 0.190949016612564 0.297306750612102 0.428862442371609
"went" 0.138331344255181 0.294005668598502 0.14178912090745 0.0977198697068404 0.365573428034259 0.360873694207028 0.110987791342952 0.38787023977433 0.0269372362395618 0.0190949016612564 0.0349772647778944 0.117937171652193
"are" 0.146468482152544 0.0655696095435509 0.580046403712297 0.369163952225841 0.198454146647169 0.294396961063628 0.665926748057714 0.105782792665726 0.15264433869085 0.343708229902616 0.489681706890521 0.139380293770773
"did" 0.18172941304112 0.291890519903549 0.116009280742459 0.130293159609121 0.292458742427408 0.151946818613485 0 0 0.134686181197809 0.0572847049837693 0.0699545295557887 0.0321646831778707
"into" 0.122057068460454 0.274969330343923 0.0773395204949729 0.293159609120521 0.219344056820556 0.208926875593542 0.221975582685905 0.0705218617771509 0.0897907874652061 0.171854114951308 0.0874431619447359 0.150101854830063
"any" 0.244114136920907 0.112102880832523 0.206238721319928 0.260586319218241 0.083559640693545 0.161443494776828 0.221975582685905 0.105782792665726 0.269372362395618 0.190949016612564 0.157397691500525 0.268039026482256
"down" 0.0895085168709992 0.36380557553196 0.0902294405774684 0.11943539630836 0.114894505953624 0.265906932573599 0 0.211565585331453 0.0628535512256442 0.0381898033225129 0.0699545295557887 0.0643293663557414
"more" 0.200716068134968 0.10364228605271 0.219128641402423 0.260586319218241 0.146229371213704 0.237416904083571 0.110987791342952 0.0705218617771509 0.251414204902577 0.343708229902616 0.314795383001049 0.182266538007934
"us" 0.222415102527938 0.118448326917382 0.476927043052333 0.0542888165038002 0.344683517860873 0.389363722697056 0.110987791342952 0 0.0897907874652061 0.0381898033225129 0.12242042672263 0.0857724884743219
"upon" 0.303786481501573 0.143830111256821 0.0902294405774684 0.260586319218241 0.135784416127011 0.161443494776828 0 0.141043723554302 0.0808117087186855 0.210043918273821 0.0174886323889472 0.160823415889353
"two" 0.0759466203753933 0.213630018190279 0.322248002062387 0.141150922909881 0.156674326300397 0.170940170940171 0.443951165371809 0.246826516220028 0.14366525994433 0.114569409967539 0.174886323889472 0.192988099067224
"do" 0.235976999023543 0.0761453530183172 0.296468161897396 0.347448425624321 0.125339461040318 0.303893637226971 0.110987791342952 0.105782792665726 0.0628535512256442 0.0190949016612564 0.279818118223155 0.0750509274150316
"what" 0.219702723228816 0.129024070392149 0.206238721319928 0.293159609120521 0.16711928138709 0.180436847103514 0.110987791342952 0.105782792665726 0.0987698662117267 0.0190949016612564 0.0524658971668416 0.139380293770773
"house" 0.0867961375718781 0.232666356444858 0.0773395204949729 0.0434310532030402 0.282013787340714 0.180436847103514 0 0.77574047954866 0.0269372362395618 0.0381898033225129 0.0349772647778944 0.257317465422966
"will" 0.0976456547683628 0.0274969330343923 0.644496004124774 0.553745928338762 0.146229371213704 0.43684710351377 0.332963374028857 0 0.0718326299721649 0.0572847049837693 0.227352221056313 0.128658732711483
"should" 0.135618964956059 0.135369516477008 0.206238721319928 0.412595005428882 0.16711928138709 0.199430199430199 0.221975582685905 0.105782792665726 0.188560653676933 0.0381898033225129 0.104931794333683 0.0857724884743219
"go" 0.130194206357817 0.16921189559626 0.14178912090745 0.325732899022801 0.271568832254021 0.303893637226971 0 0.211565585331453 0.0628535512256442 0 0.0699545295557887 0.0107215610592902
"other" 0.173592275143756 0.139599813866915 0.180458881154937 0.152008686210641 0.125339461040318 0.161443494776828 0.221975582685905 0.105782792665726 0.188560653676933 0.0763796066450258 0.174886323889472 0.192988099067224
"slaves" 0.314635998698058 0.0148060408646728 0.0386697602474865 0.195439739413681 0.104449550866931 0.056980056980057 0 0.211565585331453 0.341204992367783 0.114569409967539 0.0874431619447359 0.278760587541546
"than" 0.279375067809482 0.0444181225940184 0.232018561484919 0.141150922909881 0.0940045957802381 0.113960113960114 0.221975582685905 0.0705218617771509 0.161623417437371 0.229138819935077 0.192374956278419 0.171544976948644
"before" 0.149180861451665 0.141714962561868 0.116009280742459 0.130293159609121 0.250678922080635 0.170940170940171 0 0.246826516220028 0.125707102451288 0.114569409967539 0.12242042672263 0.182266538007934
"her" 0.396007377671694 0.0930665425779432 0 0 0.188009191560476 0.1329534662868 0 0 0.0179581574930412 0.0381898033225129 0.0524658971668416 0.0750509274150316
"s" 0.377020722577845 0 0.335137922144883 0.401737242128122 0 0 0 0 0.00897907874652061 0.0190949016612564 0.55963623644631 0
"soon" 0.0867961375718781 0.315157155548035 0.025779840164991 0.0977198697068404 0.104449550866931 0.0854700854700855 0 0.0352609308885755 0.044895393732603 0.0381898033225129 0.0524658971668416 0.0321646831778707
"told" 0.11391993056309 0.211514869495326 0.0128899200824955 0.0542888165038002 0.250678922080635 0.284900284900285 0.110987791342952 0.211565585331453 0.0359163149860824 0.0190949016612564 0.0524658971668416 0.0857724884743219
"little" 0.135618964956059 0.228436059054952 0.051559680329982 0.0325732899022801 0.083559640693545 0.1329534662868 0.110987791342952 0 0.0628535512256442 0.0954745083062822 0.209863588667366 0.0643293663557414
"see" 0.0867961375718781 0.17555734168112 0.219128641402423 0.249728555917481 0.125339461040318 0.227920227920228 0.110987791342952 0.141043723554302 0.0628535512256442 0.0381898033225129 0.174886323889472 0.0321646831778707
"only" 0.124769447759575 0.118448326917382 0.193348801237432 0.0977198697068404 0.156674326300397 0.151946818613485 0.221975582685905 0.0705218617771509 0.224476968663015 0.171854114951308 0.104931794333683 0.150101854830063
"master" 0.377020722577845 0.0105757434747663 0.0128899200824955 0 0.428243158554418 0.0379867046533713 0 0 0.0897907874652061 0.0572847049837693 0 0.107215610592902
"these" 0.135618964956059 0.0507635686788781 0.116009280742459 0.0434310532030402 0.104449550866931 0.151946818613485 0.221975582685905 0.211565585331453 0.260393283649098 0.439182738208898 0.227352221056313 0.268039026482256
"made" 0.149180861451665 0.158636152121494 0.051559680329982 0.0977198697068404 0.104449550866931 0.0854700854700855 0 0.282087447108604 0.116728023704768 0.248233721596334 0.0349772647778944 0.0857724884743219
